time_period,data_version,time_identifier,geographic_level,country_code,country_name,core_component,sex,grade,count,percent,cumulative_count,cumulative_percent
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,A,2,3,2,3
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,B,16,23.9,18,26.9
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,C,19,28.4,37,55.2
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,D,21,31.3,58,86.6
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,E,7,10.4,65,97
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Female,Unclassified,2,3,67,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Number of students,372,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,A*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,A,12,3.2,12,3.2
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,B,68,18.3,80,21.5
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,C,139,37.4,219,58.9
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,D,114,30.6,333,89.5
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,E,35,9.4,368,98.9
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Unclassified,4,1.1,372,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Number of students,7,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,A*,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,A,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,B,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,C,2,28.6,2,28.6
