time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,occupational_specialism,sex,grade,count,percent,cumulative_count,cumulative_percent
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Female,Merit,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Female,Pass,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Female,Unclassified,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Male,Number of students,146,z,z,z
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Male,Distinction,40,27.4,40,27.4
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Male,Merit,65,44.5,105,71.9
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Male,Pass,32,21.9,137,93.8
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Electrotechnical Engineering,Male,Unclassified,9,6.2,146,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Gas Engineering,Male,Number of students,1,z,z,z
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Gas Engineering,Male,Distinction,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Gas Engineering,Male,Merit,1,100,1,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Gas Engineering,Male,Pass,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Gas Engineering,Male,Unclassified,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Plumbing and Heating Engineering,Female,Number of students,2,z,z,z
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Plumbing and Heating Engineering,Female,Distinction,0,0,0,0
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Plumbing and Heating Engineering,Female,Merit,1,50,1,50
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Plumbing and Heating Engineering,Female,Pass,1,50,2,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Plumbing and Heating Engineering,Female,Unclassified,0,0,2,100
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Plumbing and Heating Engineering,Male,Number of students,58,z,z,z
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Plumbing and Heating Engineering,Male,Distinction,17,29.3,17,29.3
202223,Revised,Academic year,National,E92000001,England,Building Services Engineering,Plumbing and Heating Engineering,Male,Merit,16,27.6,33,56.9
