time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,status,count,percent,cumulative_count,cumulative_percent
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Completed,165,91.7,165,91.7
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Completed with special consideration,12,6.7,177,98.3
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Not completed,3,1.7,180,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Number of students,372,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Completed,352,94.6,352,94.6
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Completed with special consideration,12,3.2,364,97.8
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Not completed,8,2.2,372,100
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Number of students,572,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Completed,546,95.5,546,95.5
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Completed with special consideration,2,0.3,548,95.8
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",Male,Not completed,24,4.2,572,100
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Number of students,200,z,z,z
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Completed,183,91.5,183,91.5
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Completed with special consideration,14,7,197,98.5
202122,Final,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Not completed,3,1.5,200,100
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Number of students,444,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Completed,422,95,422,95
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Completed with special consideration,13,2.9,435,98
202223,Revised,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Not completed,9,2,444,100
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Number of students,686,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Completed,647,94.3,647,94.3
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Completed with special consideration,6,0.9,653,95.2
202324,Provisional,Academic year,National,E92000001,England,"Design, Surveying and Planning",All,Not completed,33,4.8,686,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Number of students,7,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Completed,7,100,7,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Completed with special consideration,0,0,7,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Female,Not completed,0,0,7,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Number of students,8,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Completed,7,87.5,7,87.5
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Completed with special consideration,0,0,7,87.5
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Female,Not completed,1,12.5,8,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Number of students,35,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Completed,33,94.3,33,94.3
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Completed with special consideration,0,0,33,94.3
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,Male,Not completed,2,5.7,35,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Number of students,27,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Completed,25,92.6,25,92.6
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Completed with special consideration,0,0,25,92.6
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,Male,Not completed,2,7.4,27,100
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,All,Number of students,43,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,All,Completed,41,95.3,41,95.3
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,All,Completed with special consideration,0,0,41,95.3
202223,Revised,Academic year,National,E92000001,England,Digital Business Services,All,Not completed,2,4.7,43,100
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,All,Number of students,35,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,All,Completed,32,91.4,32,91.4
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,All,Completed with special consideration,0,0,32,91.4
202324,Provisional,Academic year,National,E92000001,England,Digital Business Services,All,Not completed,3,8.6,35,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Number of students,34,z,z,z
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Completed,33,97.1,33,97.1
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Completed with special consideration,1,2.9,34,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Not completed,0,0,34,100
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Number of students,65,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Completed,63,96.9,63,96.9
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Completed with special consideration,1,1.5,64,98.5
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Not completed,1,1.5,65,100
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Number of students,96,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Completed,87,90.6,87,90.6
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Completed with special consideration,1,1,88,91.7
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Not completed,8,8.3,96,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Number of students,295,z,z,z
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Completed,285,96.6,285,96.6
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Completed with special consideration,2,0.7,287,97.3
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Not completed,8,2.7,295,100
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Number of students,619,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Completed,580,93.7,580,93.7
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Completed with special consideration,7,1.1,587,94.8
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Not completed,32,5.2,619,100
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Number of students,930,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Completed,852,91.6,852,91.6
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Completed with special consideration,14,1.5,866,93.1
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Not completed,64,6.9,930,100
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Number of students,331,z,z,z
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Completed,320,96.7,320,96.7
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Completed with special consideration,3,0.9,323,97.6
202122,Final,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Not completed,8,2.4,331,100
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Number of students,694,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Completed,652,93.9,652,93.9
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Completed with special consideration,8,1.2,660,95.1
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Not completed,34,4.9,694,100
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Number of students,1034,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Completed,946,91.5,946,91.5
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Completed with special consideration,15,1.5,961,92.9
202324,Provisional,Academic year,National,E92000001,England,"Digital Production, Design and Development",All,Not completed,73,7.1,1034,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Number of students,8,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Completed,6,75,6,75
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Completed with special consideration,0,0,6,75
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Not completed,2,25,8,100
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Number of students,21,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Completed,19,90.5,19,90.5
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Completed with special consideration,1,4.8,20,95.2
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Female,Not completed,1,4.8,21,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Number of students,183,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Completed,167,91.3,167,91.3
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Completed with special consideration,5,2.7,172,94
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Not completed,11,6,183,100
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Male,Number of students,273,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Male,Completed,243,89,243,89
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Male,Completed with special consideration,7,2.6,250,91.6
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,Male,Not completed,23,8.4,273,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,All,Number of students,191,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,All,Completed,173,90.6,173,90.6
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,All,Completed with special consideration,5,2.6,178,93.2
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,All,Not completed,13,6.8,191,100
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,All,Number of students,294,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,All,Completed,262,89.1,262,89.1
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,All,Completed with special consideration,8,2.7,270,91.8
202324,Provisional,Academic year,National,E92000001,England,Digital Support Services,All,Not completed,24,8.2,294,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,Number of students,449,z,z,z
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,Completed,440,98,440,98
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,Completed with special consideration,6,1.3,446,99.3
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Female,Not completed,3,0.7,449,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,Number of students,971,z,z,z
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,Completed,953,98.1,953,98.1
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,Completed with special consideration,12,1.2,965,99.4
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,Not completed,6,0.6,971,100
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Female,Number of students,1447,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Female,Completed,1381,95.4,1381,95.4
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Female,Completed with special consideration,31,2.1,1412,97.6
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Female,Not completed,35,2.4,1447,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Male,Number of students,15,z,z,z
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Male,Completed,13,86.7,13,86.7
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Male,Completed with special consideration,1,6.7,14,93.3
202122,Final,Academic year,National,E92000001,England,Education and Early Years,Male,Not completed,1,6.7,15,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,Number of students,49,z,z,z
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,Completed,48,98,48,98
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,Completed with special consideration,1,2,49,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,Not completed,0,0,49,100
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Male,Number of students,83,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Male,Completed,79,95.2,79,95.2
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Male,Completed with special consideration,2,2.4,81,97.6
202324,Provisional,Academic year,National,E92000001,England,Education and Early Years,Male,Not completed,2,2.4,83,100
202122,Final,Academic year,National,E92000001,England,Education and Early Years,All,Number of students,465,z,z,z
202122,Final,Academic year,National,E92000001,England,Education and Early Years,All,Completed,454,97.6,454,97.6
202122,Final,Academic year,National,E92000001,England,Education and Early Years,All,Completed with special consideration,7,1.5,461,99.1
202122,Final,Academic year,National,E92000001,England,Education and Early Years,All,Not completed,4,0.9,465,100
