time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,status,count,percent,cumulative_count,cumulative_percent
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Female,Completed with special consideration,2,6.9,28,96.6
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Female,Not completed,1,3.4,29,100
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Male,Number of students,369,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Male,Completed,320,86.7,320,86.7
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Male,Completed with special consideration,5,1.4,325,88.1
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",Male,Not completed,44,11.9,369,100
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",All,Number of students,398,z,z,z
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",All,Completed,346,86.9,346,86.9
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",All,Completed with special consideration,7,1.8,353,88.7
202324,Provisional,Academic year,National,E92000001,England,"Maintenance, Installation and Repair for Engineering and Manufacturing",All,Not completed,45,11.3,398,100
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Female,Number of students,362,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Female,Completed,350,96.7,350,96.7
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Female,Completed with special consideration,6,1.7,356,98.3
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Female,Not completed,6,1.7,362,100
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Male,Number of students,481,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Male,Completed,458,95.2,458,95.2
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Male,Completed with special consideration,8,1.7,466,96.9
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,Male,Not completed,15,3.1,481,100
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,All,Number of students,846,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,All,Completed,811,95.9,811,95.9
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,All,Completed with special consideration,14,1.7,825,97.5
202324,Provisional,Academic year,National,E92000001,England,Management and Administration,All,Not completed,21,2.5,846,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,Number of students,1,z,z,z
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,Completed,1,100,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,Completed with special consideration,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,Not completed,0,0,1,100
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Female,Number of students,5,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Female,Completed,5,100,5,100
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Female,Completed with special consideration,0,0,5,100
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Female,Not completed,0,0,5,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,Number of students,74,z,z,z
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,Completed,74,100,74,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,Completed with special consideration,0,0,74,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,Not completed,0,0,74,100
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Male,Number of students,133,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Male,Completed,124,93.2,124,93.2
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Male,Completed with special consideration,1,0.8,125,94
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,Male,Not completed,8,6,133,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,All,Number of students,75,z,z,z
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,All,Completed,75,100,75,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,All,Completed with special consideration,0,0,75,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,All,Not completed,0,0,75,100
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,All,Number of students,138,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,All,Completed,129,93.5,129,93.5
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,All,Completed with special consideration,1,0.7,130,94.2
202324,Provisional,Academic year,National,E92000001,England,Onsite Construction,All,Not completed,8,5.8,138,100
202223,Revised,Academic year,National,E92000001,England,Science,Female,Number of students,52,z,z,z
202223,Revised,Academic year,National,E92000001,England,Science,Female,Completed,51,98.1,51,98.1
202223,Revised,Academic year,National,E92000001,England,Science,Female,Completed with special consideration,1,1.9,52,100
202223,Revised,Academic year,National,E92000001,England,Science,Female,Not completed,0,0,52,100
202324,Provisional,Academic year,National,E92000001,England,Science,Female,Number of students,41,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Science,Female,Completed,34,82.9,34,82.9
202324,Provisional,Academic year,National,E92000001,England,Science,Female,Completed with special consideration,4,9.8,38,92.7
202324,Provisional,Academic year,National,E92000001,England,Science,Female,Not completed,3,7.3,41,100
202223,Revised,Academic year,National,E92000001,England,Science,Male,Number of students,70,z,z,z
202223,Revised,Academic year,National,E92000001,England,Science,Male,Completed,66,94.3,66,94.3
202223,Revised,Academic year,National,E92000001,England,Science,Male,Completed with special consideration,2,2.9,68,97.1
202223,Revised,Academic year,National,E92000001,England,Science,Male,Not completed,2,2.9,70,100
202324,Provisional,Academic year,National,E92000001,England,Science,Male,Number of students,87,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Science,Male,Completed,81,93.1,81,93.1
202324,Provisional,Academic year,National,E92000001,England,Science,Male,Completed with special consideration,1,1.1,82,94.3
202324,Provisional,Academic year,National,E92000001,England,Science,Male,Not completed,5,5.7,87,100
202223,Revised,Academic year,National,E92000001,England,Science,All,Number of students,122,z,z,z
202223,Revised,Academic year,National,E92000001,England,Science,All,Completed,117,95.9,117,95.9
202223,Revised,Academic year,National,E92000001,England,Science,All,Completed with special consideration,3,2.5,120,98.4
202223,Revised,Academic year,National,E92000001,England,Science,All,Not completed,2,1.6,122,100
202324,Provisional,Academic year,National,E92000001,England,Science,All,Number of students,128,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Science,All,Completed,115,89.8,115,89.8
202324,Provisional,Academic year,National,E92000001,England,Science,All,Completed with special consideration,5,3.9,120,93.8
202324,Provisional,Academic year,National,E92000001,England,Science,All,Not completed,8,6.3,128,100
202122,Final,Academic year,National,E92000001,England,Total,Female,Number of students,503,z,z,z
202122,Final,Academic year,National,E92000001,England,Total,Female,Completed,491,97.6,491,97.6
202122,Final,Academic year,National,E92000001,England,Total,Female,Completed with special consideration,9,1.8,500,99.4
202122,Final,Academic year,National,E92000001,England,Total,Female,Not completed,3,0.6,503,100
202223,Revised,Academic year,National,E92000001,England,Total,Female,Number of students,1859,z,z,z
202223,Revised,Academic year,National,E92000001,England,Total,Female,Completed,1811,97.4,1811,97.4
202223,Revised,Academic year,National,E92000001,England,Total,Female,Completed with special consideration,27,1.5,1838,98.9
202223,Revised,Academic year,National,E92000001,England,Total,Female,Not completed,21,1.1,1859,100
202324,Provisional,Academic year,National,E92000001,England,Total,Female,Number of students,3227,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Total,Female,Completed,3050,94.5,3050,94.5
202324,Provisional,Academic year,National,E92000001,England,Total,Female,Completed with special consideration,76,2.4,3126,96.9
202324,Provisional,Academic year,National,E92000001,England,Total,Female,Not completed,101,3.1,3227,100
202122,Final,Academic year,National,E92000001,England,Total,Male,Number of students,490,z,z,z
202122,Final,Academic year,National,E92000001,England,Total,Male,Completed,463,94.5,463,94.5
202122,Final,Academic year,National,E92000001,England,Total,Male,Completed with special consideration,15,3.1,478,97.6
202122,Final,Academic year,National,E92000001,England,Total,Male,Not completed,12,2.4,490,100
202223,Revised,Academic year,National,E92000001,England,Total,Male,Number of students,1677,z,z,z
202223,Revised,Academic year,National,E92000001,England,Total,Male,Completed,1579,94.2,1579,94.2
202223,Revised,Academic year,National,E92000001,England,Total,Male,Completed with special consideration,32,1.9,1611,96.1
202223,Revised,Academic year,National,E92000001,England,Total,Male,Not completed,66,3.9,1677,100
202324,Provisional,Academic year,National,E92000001,England,Total,Male,Number of students,4116,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Total,Male,Completed,3795,92.2,3795,92.2
202324,Provisional,Academic year,National,E92000001,England,Total,Male,Completed with special consideration,63,1.5,3858,93.7
202324,Provisional,Academic year,National,E92000001,England,Total,Male,Not completed,258,6.3,4116,100
202122,Final,Academic year,National,E92000001,England,Total,All,Number of students,996,z,z,z
202122,Final,Academic year,National,E92000001,England,Total,All,Completed,957,96.1,957,96.1
202122,Final,Academic year,National,E92000001,England,Total,All,Completed with special consideration,24,2.4,981,98.5
202122,Final,Academic year,National,E92000001,England,Total,All,Not completed,15,1.5,996,100
202223,Revised,Academic year,National,E92000001,England,Total,All,Number of students,3559,z,z,z
202223,Revised,Academic year,National,E92000001,England,Total,All,Completed,3412,95.9,3412,95.9
202223,Revised,Academic year,National,E92000001,England,Total,All,Completed with special consideration,59,1.7,3471,97.5
202223,Revised,Academic year,National,E92000001,England,Total,All,Not completed,88,2.5,3559,100
202324,Provisional,Academic year,National,E92000001,England,Total,All,Number of students,7380,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Total,All,Completed,6879,93.2,6879,93.2
202324,Provisional,Academic year,National,E92000001,England,Total,All,Completed with special consideration,141,1.9,7020,95.1
202324,Provisional,Academic year,National,E92000001,England,Total,All,Not completed,360,4.9,7380,100
