time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Pass,26,40,63,96.9
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Female,Unclassified,2,3.1,65,100
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Number of students,619,z,z,z
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Distinction,65,10.5,65,10.5
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Merit,259,41.8,324,52.3
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Pass,233,37.6,557,90
202223,Revised,Academic year,National,E92000001,England,"Digital Production, Design and Development",Male,Unclassified,62,10,619,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Number of students,8,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Distinction,1,12.5,1,12.5
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Merit,2,25,3,37.5
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Pass,4,50,7,87.5
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Female,Unclassified,1,12.5,8,100
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Number of students,183,z,z,z
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Distinction,46,25.1,46,25.1
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Merit,59,32.2,105,57.4
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Pass,58,31.7,163,89.1
202223,Revised,Academic year,National,E92000001,England,Digital Support Services,Male,Unclassified,20,10.9,183,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,Number of students,971,z,z,z
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,Distinction,304,31.3,304,31.3
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,Merit,459,47.3,763,78.6
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,Pass,196,20.2,959,98.8
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Female,Unclassified,12,1.2,971,100
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,Number of students,49,z,z,z
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,Distinction,16,32.7,16,32.7
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,Merit,22,44.9,38,77.6
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,Pass,10,20.4,48,98
202223,Revised,Academic year,National,E92000001,England,Education and Early Years,Male,Unclassified,1,2,49,100
202223,Revised,Academic year,National,E92000001,England,Health,Female,Number of students,661,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Female,Distinction,164,24.8,164,24.8
202223,Revised,Academic year,National,E92000001,England,Health,Female,Merit,430,65.1,594,89.9
202223,Revised,Academic year,National,E92000001,England,Health,Female,Pass,64,9.7,658,99.5
202223,Revised,Academic year,National,E92000001,England,Health,Female,Unclassified,3,0.5,661,100
202223,Revised,Academic year,National,E92000001,England,Health,Male,Number of students,62,z,z,z
202223,Revised,Academic year,National,E92000001,England,Health,Male,Distinction,9,14.5,9,14.5
202223,Revised,Academic year,National,E92000001,England,Health,Male,Merit,39,62.9,48,77.4
202223,Revised,Academic year,National,E92000001,England,Health,Male,Pass,13,21,61,98.4
202223,Revised,Academic year,National,E92000001,England,Health,Male,Unclassified,1,1.6,62,100
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,Number of students,24,z,z,z
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,Distinction,5,20.8,5,20.8
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,Merit,9,37.5,14,58.3
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,Pass,8,33.3,22,91.7
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Female,Unclassified,2,8.3,24,100
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,Number of students,8,z,z,z
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,Distinction,1,12.5,1,12.5
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,Merit,2,25,3,37.5
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,Pass,2,25,5,62.5
202223,Revised,Academic year,National,E92000001,England,Healthcare Science,Male,Unclassified,3,37.5,8,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,Number of students,1,z,z,z
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,Distinction,1,100,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,Merit,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,Pass,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Female,Unclassified,0,0,1,100
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,Number of students,74,z,z,z
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,Distinction,26,35.1,26,35.1
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,Merit,22,29.7,48,64.9
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,Pass,11,14.9,59,79.7
202223,Revised,Academic year,National,E92000001,England,Onsite Construction,Male,Unclassified,15,20.3,74,100
202223,Revised,Academic year,National,E92000001,England,Science,Female,Number of students,52,z,z,z
202223,Revised,Academic year,National,E92000001,England,Science,Female,Distinction,3,5.8,3,5.8
202223,Revised,Academic year,National,E92000001,England,Science,Female,Merit,29,55.8,32,61.5
202223,Revised,Academic year,National,E92000001,England,Science,Female,Pass,19,36.5,51,98.1
202223,Revised,Academic year,National,E92000001,England,Science,Female,Unclassified,1,1.9,52,100
202223,Revised,Academic year,National,E92000001,England,Science,Male,Number of students,70,z,z,z
202223,Revised,Academic year,National,E92000001,England,Science,Male,Distinction,3,4.3,3,4.3
202223,Revised,Academic year,National,E92000001,England,Science,Male,Merit,38,54.3,41,58.6
202223,Revised,Academic year,National,E92000001,England,Science,Male,Pass,27,38.6,68,97.1
202223,Revised,Academic year,National,E92000001,England,Science,Male,Unclassified,2,2.9,70,100
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Number of students,28,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Distinction,8,28.6,8,28.6
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Merit,9,32.1,17,60.7
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Pass,10,35.7,27,96.4
202324,Provisional,Academic year,National,E92000001,England,Accounting,Female,Unclassified,1,3.6,28,100
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Number of students,65,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Distinction,20,30.8,20,30.8
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Merit,33,50.8,53,81.5
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Pass,8,12.3,61,93.8
202324,Provisional,Academic year,National,E92000001,England,Accounting,Male,Unclassified,4,6.2,65,100
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Number of students,9,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Distinction,4,44.4,4,44.4
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Merit,1,11.1,5,55.6
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Pass,3,33.3,8,88.9
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Female,Unclassified,1,11.1,9,100
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,Number of students,309,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,Distinction,44,14.2,44,14.2
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,Merit,108,35,152,49.2
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,Pass,136,44,288,93.2
202324,Provisional,Academic year,National,E92000001,England,Building Services Engineering,Male,Unclassified,21,6.8,309,100
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,Number of students,40,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,Distinction,7,17.5,7,17.5
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,Merit,16,40,23,57.5
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,Pass,12,30,35,87.5
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,Unclassified,5,12.5,40,100
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Number of students,514,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Distinction,56,10.9,56,10.9
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Merit,143,27.8,199,38.7
