time_period,data_version,time_identifier,geographic_level,country_code,country_name,tlevel_pathway,sex,grade,count,percent,cumulative_count,cumulative_percent
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,Distinction,5,12.5,5,12.5
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,Merit,17,42.5,22,55
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,Pass,11,27.5,33,82.5
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,Partial achievement,7,17.5,40,100
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Female,Unclassified,0,0,40,100
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Number of students,514,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Distinction*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Distinction,34,6.6,34,6.6
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Merit,146,28.4,180,35
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Pass,174,33.9,354,68.9
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Partial achievement,158,30.7,512,99.6
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,Male,Unclassified,2,0.4,514,100
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,All,Number of students,555,z,z,z
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,All,Distinction*,0,0,0,0
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,All,Distinction,39,7,39,7
202324,Provisional,Academic year,National,E92000001,England,Design and Development for Engineering and Manufacturing,All,Merit,163,29.4,202,36.4
